,via_to,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,TA104TA257,195.36,106.56,39.96,8.88,4.44,22.200000000000003,44.400000000000006,630.48,892.44,550.5600000000001,772.5600000000001,541.6800000000001,634.9200000000001,741.48,785.8800000000001,777.0000000000001,1212.1200000000001,1034.52,972.3600000000001,910.2,701.5200000000001,390.72,284.16,239.76000000000002
1,TA105TA26,111.00000000000001,57.720000000000006,62.160000000000004,44.400000000000006,22.200000000000003,57.720000000000006,199.8,324.12,506.16,537.24,568.32,639.36,612.72,728.1600000000001,559.44,617.1600000000001,639.36,630.48,439.56000000000006,550.5600000000001,555.0,412.92,350.76000000000005,239.76000000000002
2,TA105TA83,257.52000000000004,150.96,164.28,57.720000000000006,71.04,182.04000000000002,621.6,888.0000000000001,985.6800000000001,967.9200000000001,790.32,1056.72,972.3600000000001,967.9200000000001,1056.72,910.2,1021.2,1256.5200000000002,1225.44,932.4000000000001,959.0400000000001,745.9200000000001,648.24,519.48
3,TA106TA28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0
4,TA109TA111,39.96,13.32,0.0,4.44,0.0,31.080000000000002,75.48,319.68,523.9200000000001,563.88,457.32000000000005,541.6800000000001,479.52000000000004,337.44000000000005,297.48,395.16,337.44000000000005,226.44000000000003,275.28000000000003,337.44000000000005,257.52000000000004,195.36,173.16000000000003,124.32000000000001
5,TA109TA136,0.0,0.0,0.0,0.0,0.0,0.0,4.44,13.32,22.200000000000003,75.48,22.200000000000003,17.76,244.20000000000002,26.64,124.32000000000001,306.36,341.88000000000005,284.16,53.28,31.080000000000002,31.080000000000002,13.32,8.88,13.32
6,TA111TA134,4.44,0.0,0.0,4.44,0.0,0.0,4.44,26.64,17.76,57.720000000000006,53.28,48.84,57.720000000000006,35.52,13.32,22.200000000000003,26.64,35.52,8.88,8.88,13.32,0.0,17.76,13.32
7,TA112TA231,8.88,0.0,8.88,0.0,0.0,8.88,0.0,35.52,53.28,79.92,35.52,0.0,17.76,8.88,26.64,35.52,35.52,8.88,35.52,26.64,17.76,0.0,17.76,0.0
8,TA112TA38,8.88,0.0,0.0,0.0,0.0,0.0,0.0,35.52,346.32000000000005,88.80000000000001,53.28,62.160000000000004,142.08,26.64,97.68,115.44000000000001,213.12,159.84,115.44000000000001,88.80000000000001,17.76,35.52,79.92,17.76
9,TA112TA79,0.0,0.0,0.0,0.0,8.88,8.88,8.88,204.24,1074.48,790.32,124.32000000000001,195.36,204.24,275.28000000000003,301.92,337.44000000000005,390.72,150.96,115.44000000000001,106.56,53.28,44.400000000000006,17.76,35.52
10,TA122TA13,22.200000000000003,0.0,0.0,0.0,0.0,0.0,4.44,17.76,39.96,26.64,31.080000000000002,17.76,31.080000000000002,17.76,26.64,13.32,35.52,17.76,48.84,39.96,22.200000000000003,22.200000000000003,17.76,0.0
11,TA122TA251,936.84,1007.8800000000001,994.5600000000001,839.1600000000001,759.2400000000001,896.8800000000001,732.6,888.0000000000001,927.96,1061.16,1141.0800000000002,1443.0000000000002,1083.3600000000001,1247.64,1172.16,1332.0000000000002,1314.24,1531.8000000000002,1394.16,1429.68,1367.5200000000002,1234.3200000000002,1185.48,1074.48
12,TA124TA151,31.080000000000002,17.76,8.88,0.0,44.400000000000006,57.720000000000006,146.52,550.5600000000001,692.6400000000001,714.84,470.64000000000004,479.52000000000004,430.68000000000006,426.24,444.00000000000006,421.8,559.44,550.5600000000001,483.96000000000004,599.4000000000001,301.92,177.60000000000002,133.20000000000002,57.720000000000006
13,TA124TA185,0.0,0.0,0.0,0.0,0.0,0.0,4.44,13.32,22.200000000000003,22.200000000000003,8.88,35.52,26.64,22.200000000000003,0.0,4.44,22.200000000000003,8.88,13.32,22.200000000000003,8.88,8.88,17.76,8.88
14,TA132TA134,8.88,0.0,0.0,0.0,0.0,0.0,17.76,17.76,71.04,88.80000000000001,35.52,17.76,39.96,13.32,13.32,48.84,71.04,35.52,35.52,31.080000000000002,35.52,31.080000000000002,17.76,13.32
15,TA133TA137,8.88,0.0,0.0,0.0,0.0,0.0,4.44,26.64,31.080000000000002,0.0,8.88,31.080000000000002,8.88,8.88,8.88,13.32,53.28,31.080000000000002,26.64,31.080000000000002,13.32,0.0,4.44,8.88
16,TA133TA79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,17.76,4.44,22.200000000000003,0.0,8.88,13.32,22.200000000000003,17.76,4.44,8.88,0.0,0.0,0.0,17.76,0.0,0.0
17,TA134TA135,17.76,8.88,4.44,8.88,4.44,8.88,17.76,97.68,204.24,155.4,173.16000000000003,266.40000000000003,204.24,399.6,230.88000000000002,821.4000000000001,710.4000000000001,168.72000000000003,173.16000000000003,111.00000000000001,75.48,48.84,48.84,48.84
18,TA135TA146,57.720000000000006,0.0,0.0,13.32,0.0,8.88,142.08,319.68,515.0400000000001,492.84000000000003,652.6800000000001,950.1600000000001,572.7600000000001,439.56000000000006,395.16,492.84000000000003,737.0400000000001,412.92,759.2400000000001,1061.16,497.28000000000003,226.44000000000003,57.720000000000006,31.080000000000002
19,TA135TA270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,4.44,0.0,0.0,4.44,0.0,8.88,4.44,4.44,0.0,13.32,17.76,4.44,13.32,0.0,0.0
20,TA136TA146,26.64,17.76,0.0,0.0,4.44,4.44,66.60000000000001,270.84000000000003,337.44000000000005,568.32,346.32000000000005,270.84000000000003,239.76000000000002,168.72000000000003,257.52000000000004,226.44000000000003,430.68000000000006,386.28000000000003,337.44000000000005,350.76000000000005,222.00000000000003,168.72000000000003,164.28,102.12
21,TA137TA143,17.76,13.32,8.88,4.44,8.88,8.88,31.080000000000002,244.20000000000002,586.08,448.44000000000005,461.76000000000005,794.7600000000001,674.8800000000001,750.36,435.12000000000006,408.48,599.4000000000001,328.56,470.64000000000004,519.48,333.00000000000006,142.08,88.80000000000001,22.200000000000003
22,TA137TA152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,TA137TA78,4.44,4.44,4.44,0.0,0.0,0.0,8.88,84.36000000000001,217.56000000000003,222.00000000000003,128.76000000000002,177.60000000000002,155.4,155.4,164.28,168.72000000000003,164.28,208.68,142.08,142.08,106.56,35.52,31.080000000000002,31.080000000000002
24,TA13TA14,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,4.44,0.0,0.0,0.0,4.44,4.44,0.0
25,TA13TA2,48.84,66.60000000000001,75.48,22.200000000000003,13.32,44.400000000000006,35.52,124.32000000000001,248.64000000000001,177.60000000000002,168.72000000000003,235.32000000000002,226.44000000000003,222.00000000000003,235.32000000000002,208.68,279.72,275.28000000000003,328.56,208.68,142.08,133.20000000000002,119.88000000000001,62.160000000000004
26,TA13TA39,115.44000000000001,35.52,22.200000000000003,8.88,31.080000000000002,35.52,88.80000000000001,182.04000000000002,315.24,213.12,235.32000000000002,306.36,284.16,319.68,257.52000000000004,297.48,452.88000000000005,355.20000000000005,532.8000000000001,377.40000000000003,381.84000000000003,408.48,301.92,142.08
27,TA143TA144,4.44,4.44,0.0,0.0,0.0,0.0,4.44,31.080000000000002,62.160000000000004,133.20000000000002,93.24000000000001,26.64,39.96,8.88,39.96,62.160000000000004,79.92,48.84,79.92,66.60000000000001,8.88,8.88,13.32,8.88
28,TA144TA152,0.0,0.0,0.0,0.0,0.0,0.0,4.44,35.52,75.48,75.48,39.96,26.64,35.52,35.52,53.28,53.28,39.96,39.96,48.84,8.88,66.60000000000001,13.32,35.52,8.88
29,TA146TA147,0.0,0.0,0.0,0.0,0.0,0.0,35.52,106.56,204.24,355.20000000000005,479.52000000000004,57.720000000000006,48.84,31.080000000000002,270.84000000000003,492.84000000000003,701.5200000000001,777.0000000000001,111.00000000000001,337.44000000000005,204.24,17.76,13.32,17.76
30,TA146TA184,248.64000000000001,124.32000000000001,146.52,102.12,79.92,239.76000000000002,910.2,834.72,861.3600000000001,759.2400000000001,936.84,1052.2800000000002,994.5600000000001,1034.52,1243.2,1354.2,1110.0,1101.1200000000001,1149.96,954.6000000000001,976.8000000000001,834.72,594.96,523.9200000000001
31,TA147TA270,17.76,0.0,0.0,0.0,0.0,13.32,62.160000000000004,315.24,661.5600000000001,852.48,248.64000000000001,164.28,319.68,284.16,395.16,555.0,417.36,386.28000000000003,341.88000000000005,470.64000000000004,230.88000000000002,124.32000000000001,88.80000000000001,124.32000000000001
32,TA147TA277,8.88,0.0,4.44,0.0,4.44,0.0,35.52,79.92,128.76000000000002,195.36,182.04000000000002,106.56,124.32000000000001,53.28,57.720000000000006,93.24000000000001,182.04000000000002,173.16000000000003,133.20000000000002,119.88000000000001,84.36000000000001,26.64,17.76,22.200000000000003
33,TA14TA15,4.44,0.0,0.0,0.0,0.0,0.0,8.88,4.44,0.0,4.44,0.0,4.44,13.32,4.44,0.0,0.0,17.76,8.88,8.88,13.32,4.44,4.44,0.0,4.44
34,TA14TA231,8.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.160000000000004,17.76,53.28,26.64,17.76,8.88,0.0,0.0,0.0,8.88,8.88,17.76,8.88,8.88,8.88
35,TA14TA3,124.32000000000001,62.160000000000004,35.52,53.28,44.400000000000006,26.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,TA152TA77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,4.44,4.44,0.0,0.0,0.0,4.44,0.0,0.0,0.0
37,TA15TA16,4.44,8.88,4.44,4.44,4.44,0.0,4.44,22.200000000000003,119.88000000000001,142.08,93.24000000000001,84.36000000000001,48.84,93.24000000000001,48.84,62.160000000000004,84.36000000000001,66.60000000000001,102.12,115.44000000000001,62.160000000000004,71.04,31.080000000000002,8.88
